sample_index,timestamp,room_id,test_session_id,peer_id,remote_peer_id,connection_state,ice_connection_state,rtt_ms,packets_lost,packet_loss_rate,jitter_ms,bitrate_kbps,available_outgoing_bitrate_kbps,fps,frame_width,frame_height,codec,local_candidate_type,remote_candidate_type,candidate_pair_protocol,packets_sent,packets_received,bytes_sent,bytes_received,frames_sent,frames_received,frames_encoded,frames_decoded,frames_dropped,nack_enabled,nack_mode,nack_count,pli_count,fir_count,quality_limitation_reason,bitrate_mode,sender_max_bitrate_bps,abr_mode,abr_target_bitrate_bps,abr_decision
2426,1778745557.513,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,2075.323323323323,3897.6,30,640,480,audio/opus,host,host,udp,7564,8579,6042610,7151746,1014,1016,1014,1013,0,True,enabled,0,0,0,none,manual,300000,off,,off
2428,1778745558.513,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,2147.956386941688,3897.6,31,640,480,audio/opus,host,host,udp,7670,8843,6086038,7376732,1045,1047,1045,1044,0,True,enabled,0,0,0,none,manual,300000,off,,off
2430,1778745559.513,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,1,2101.788357646474,3897.6,30,640,480,audio/opus,host,host,udp,7775,9101,6128785,7596656,1075,1076,1075,1074,0,True,enabled,0,0,0,none,manual,300000,off,,off
2432,1778745560.513,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,1975.2590517868105,3897.6,29,640,480,audio/opus,host,host,udp,7874,9352,6167882,7804417,1104,1106,1104,1104,0,True,enabled,0,0,0,none,manual,300000,off,,off
2434,1778745561.513,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,2038.1123775487863,3897.6,30,640,480,audio/opus,host,host,udp,7976,9609,6208018,8019096,1134,1136,1134,1134,0,True,enabled,0,0,0,none,manual,300000,off,,off
2436,1778745562.514,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,1870.3376623376626,3897.6,26,640,480,audio/opus,host,host,udp,8072,9847,6245787,8215353,1161,1163,1161,1160,0,True,enabled,0,0,0,none,manual,300000,off,,off
2438,1778745563.515,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,2177.1879684480405,3897.6,30,640,480,audio/opus,host,host,udp,8177,10113,6289199,8444280,1191,1193,1191,1190,0,True,enabled,0,0,0,none,manual,300000,off,,off
2440,1778745564.514,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,2164.028028028028,3897.6,30,640,480,audio/opus,host,host,udp,8284,10379,6333524,8670188,1221,1223,1221,1220,0,True,enabled,0,0,0,none,manual,300000,off,,off
2442,1778745565.515,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,1,2067.3966033966035,3897.6,30,640,480,audio/opus,host,host,udp,8382,10635,6375031,8887364,1251,1253,1251,1250,0,True,enabled,0,0,0,none,manual,300000,off,,off
2444,1778745566.514,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,2054.840904469195,3897.6,30,640,480,audio/opus,host,host,udp,8489,10892,6415923,9103173,1281,1283,1281,1280,0,True,enabled,0,0,0,none,manual,300000,off,,off
2446,1778745567.513,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,2021.861116718236,3897.6,30,640,480,audio/opus,host,host,udp,8591,11147,6456163,9315514,1311,1313,1311,1310,0,True,enabled,0,0,0,none,manual,300000,off,,off
2448,1778745568.513,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,2086.737347444613,3897.6,30,640,480,audio/opus,host,host,udp,8698,11408,6497861,9534606,1341,1343,1341,1340,0,True,enabled,0,0,0,none,manual,300000,off,,off
2450,1778745569.513,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,2026.7947179596679,3897.6,30,640,480,audio/opus,host,host,udp,8803,11660,6538557,9747158,1371,1373,1371,1370,0,True,enabled,0,0,0,none,manual,300000,off,,off
2452,1778745570.513,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,2057.3897389003123,3897.6,30,640,480,audio/opus,host,host,udp,8905,11915,6579717,9963146,1401,1403,1401,1400,0,True,enabled,0,0,0,none,manual,300000,off,,off
2454,1778745571.514,room1,session-14f9d93f-7f45-4bb7-8432-03f44b81dd8c,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,0,0,0,0,2114.420369445831,3897.6,29,640,480,audio/opus,host,host,udp,9012,12181,6621816,10185746,1431,1433,1431,1431,0,True,enabled,0,0,0,none,manual,300000,off,,off
